sample_id,treatment,cell_line,concentration_um,viability,apoptosis
S001,Control,HeLa,0,93.9,3.6
S002,Control,HeLa,0,100.0,0.0
S003,Control,HeLa,0,93.8,0.0
S004,Control,HeLa,0,99.7,2.5
S005,Control,HeLa,0,91.5,9.0
S006,Control,HeLa,0,93.2,4.0
S007,Control,HeLa,0,96.8,4.3
S008,Control,HeLa,0,100.0,0.2
S009,Control,HeLa,0,100.0,0.0
S010,Control,HeLa,0,93.3,5.1
S011,Control,MCF7,0,100.0,0.0
S012,Control,MCF7,0,99.2,2.3
S013,Control,MCF7,0,100.0,0.0
S014,Control,MCF7,0,93.2,10.3
S015,Control,MCF7,0,92.1,7.0
S016,Control,MCF7,0,100.0,0.0
S017,Control,MCF7,0,89.6,12.8
S018,Control,MCF7,0,92.5,6.7
S019,Control,MCF7,0,91.4,5.8
S020,Control,MCF7,0,97.0,0.0
S021,Control,A549,0,91.4,13.8
S022,Control,A549,0,91.2,12.4
S023,Control,A549,0,97.7,2.9
S024,Control,A549,0,100.0,0.0
S025,Control,A549,0,98.4,12.9
S026,Control,A549,0,98.3,9.3
S027,Control,A549,0,94.7,11.0
S028,Control,A549,0,96.8,5.3
S029,Control,A549,0,93.7,5.0
S030,Control,A549,0,92.9,10.7
S031,Drug_A,HeLa,10,65.2,36.2
S032,Drug_A,HeLa,10,72.9,28.7
S033,Drug_A,HeLa,10,74.5,23.3
S034,Drug_A,HeLa,10,82.6,17.4
S035,Drug_A,HeLa,10,76.4,20.2
S036,Drug_A,HeLa,10,73.7,30.5
S037,Drug_A,HeLa,10,63.5,35.5
S038,Drug_A,HeLa,10,61.0,50.0
S039,Drug_A,HeLa,10,74.9,22.4
S040,Drug_A,HeLa,10,72.0,28.8
S041,Drug_A,MCF7,10,75.8,33.0
S042,Drug_A,MCF7,10,69.8,25.9
S043,Drug_A,MCF7,10,77.7,28.2
S044,Drug_A,MCF7,10,66.9,28.1
S045,Drug_A,MCF7,10,83.4,17.0
S046,Drug_A,MCF7,10,84.0,15.6
S047,Drug_A,MCF7,10,49.5,49.6
S048,Drug_A,MCF7,10,73.4,34.1
S049,Drug_A,MCF7,10,63.5,43.2
S050,Drug_A,MCF7,10,74.2,29.4
S051,Drug_A,A549,10,62.6,37.0
S052,Drug_A,A549,10,55.8,35.9
S053,Drug_A,A549,10,74.9,28.6
S054,Drug_A,A549,10,77.6,22.3
S055,Drug_A,A549,10,75.6,20.6
S056,Drug_A,A549,10,89.9,11.3
S057,Drug_A,A549,10,80.7,20.4
S058,Drug_A,A549,10,71.6,27.5
S059,Drug_A,A549,10,66.9,35.3
S060,Drug_A,A549,10,70.5,41.2
S061,Drug_B,HeLa,25,64.9,33.4
S062,Drug_B,HeLa,25,74.4,31.2
S063,Drug_B,HeLa,25,65.7,45.8
S064,Drug_B,HeLa,25,72.4,30.0
S065,Drug_B,HeLa,25,74.0,27.3
S066,Drug_B,HeLa,25,71.3,34.2
S067,Drug_B,HeLa,25,65.5,35.0
S068,Drug_B,HeLa,25,74.0,28.1
S069,Drug_B,HeLa,25,80.7,12.6
S070,Drug_B,HeLa,25,49.1,50.6
S071,Drug_B,MCF7,25,88.0,19.2
S072,Drug_B,MCF7,25,61.2,39.3
S073,Drug_B,MCF7,25,55.5,54.4
S074,Drug_B,MCF7,25,77.7,22.8
S075,Drug_B,MCF7,25,72.4,31.7
S076,Drug_B,MCF7,25,71.3,24.9
S077,Drug_B,MCF7,25,75.7,23.4
S078,Drug_B,MCF7,25,76.2,22.0
S079,Drug_B,MCF7,25,75.0,25.5
S080,Drug_B,MCF7,25,70.5,33.0
S081,Drug_B,A549,25,39.0,58.3
S082,Drug_B,A549,25,76.5,17.7
S083,Drug_B,A549,25,75.3,25.0
S084,Drug_B,A549,25,63.4,40.1
S085,Drug_B,A549,25,63.9,43.8
S086,Drug_B,A549,25,74.7,19.4
S087,Drug_B,A549,25,64.6,26.2
S088,Drug_B,A549,25,56.0,41.4
S089,Drug_B,A549,25,55.9,50.8
S090,Drug_B,A549,25,72.8,21.4
S091,Combo,HeLa,50,47.5,49.8
S092,Combo,HeLa,50,60.5,47.5
S093,Combo,HeLa,50,33.4,65.2
S094,Combo,HeLa,50,55.9,44.0
S095,Combo,HeLa,50,44.2,56.9
S096,Combo,HeLa,50,31.8,72.1
S097,Combo,HeLa,50,48.1,51.2
S098,Combo,HeLa,50,51.2,39.6
S099,Combo,HeLa,50,64.2,35.2
S100,Combo,HeLa,50,31.7,70.1
S101,Combo,MCF7,50,25.1,60.7
S102,Combo,MCF7,50,55.7,50.7
S103,Combo,MCF7,50,38.2,60.7
S104,Combo,MCF7,50,46.5,45.2
S105,Combo,MCF7,50,40.8,56.9
S106,Combo,MCF7,50,46.2,62.5
S107,Combo,MCF7,50,29.4,74.5
S108,Combo,MCF7,50,80.0,20.8
S109,Combo,MCF7,50,40.6,58.8
S110,Combo,MCF7,50,41.5,47.6
S111,Combo,A549,50,32.5,67.3
S112,Combo,A549,50,45.6,59.4
S113,Combo,A549,50,50.0,45.7
S114,Combo,A549,50,48.3,54.5
S115,Combo,A549,50,42.1,54.1
S116,Combo,A549,50,34.2,68.8
S117,Combo,A549,50,49.7,43.6
S118,Combo,A549,50,41.2,60.6
S119,Combo,A549,50,28.6,64.7
S120,Combo,A549,50,33.8,58.3
