sample_id,condition,timepoint,gene_A,gene_B,gene_C
GE001,Control,0h,92.9,47.8,195.2
GE002,Control,0h,95.4,58.1,185.5
GE003,Control,0h,101.7,66.1,151.7
GE004,Control,0h,85.5,60.9,161.8
GE005,Control,0h,92.9,38.6,190.8
GE006,Control,0h,99.0,42.1,188.2
GE007,Control,0h,117.1,59.6,151.5
GE008,Control,0h,116.7,40.7,218.9
GE009,Control,0h,101.6,49.1,225.0
GE010,Control,0h,122.1,39.4,227.4
GE011,Control,6h,98.9,29.7,203.3
GE012,Control,6h,133.2,32.0,232.3
GE013,Control,6h,121.1,43.1,188.2
GE014,Control,6h,93.4,56.5,161.6
GE015,Control,6h,90.6,51.5,171.7
GE016,Control,6h,96.3,52.8,267.3
GE017,Control,6h,116.3,54.2,185.6
GE018,Control,6h,88.1,49.3,166.7
GE019,Control,6h,108.9,61.3,199.4
GE020,Control,6h,104.5,51.4,232.0
GE021,Control,24h,119.9,51.6,214.3
GE022,Control,24h,85.6,66.4,201.1
GE023,Control,24h,94.9,46.8,225.9
GE024,Control,24h,88.0,52.6,201.8
GE025,Control,24h,117.1,52.5,165.5
GE026,Control,24h,131.4,63.5,175.3
GE027,Control,24h,110.2,61.6,221.8
GE028,Control,24h,113.4,39.0,159.4
GE029,Control,24h,89.9,41.3,185.7
GE030,Control,24h,119.0,50.9,220.3
GE031,Treated,0h,158.2,36.0,199.2
GE032,Treated,0h,180.5,50.2,260.7
GE033,Treated,0h,163.5,40.3,197.1
GE034,Treated,0h,172.4,34.9,193.2
GE035,Treated,0h,193.9,40.2,267.0
GE036,Treated,0h,214.5,23.9,171.6
GE037,Treated,0h,151.9,38.1,131.1
GE038,Treated,0h,160.6,39.9,190.7
GE039,Treated,0h,185.8,18.4,218.1
GE040,Treated,0h,178.4,27.7,221.5
GE041,Treated,6h,187.9,33.8,251.6
GE042,Treated,6h,162.3,27.3,218.9
GE043,Treated,6h,166.0,34.3,181.2
GE044,Treated,6h,154.5,34.7,205.9
GE045,Treated,6h,191.3,23.7,185.5
GE046,Treated,6h,166.1,35.0,195.8
GE047,Treated,6h,196.4,39.0,246.4
GE048,Treated,6h,197.6,46.9,218.3
GE049,Treated,6h,185.6,23.2,223.2
GE050,Treated,6h,210.6,26.9,278.0
GE051,Treated,24h,198.7,39.2,227.5
GE052,Treated,24h,213.5,50.7,179.4
GE053,Treated,24h,160.8,30.9,194.6
GE054,Treated,24h,204.8,36.2,222.0
GE055,Treated,24h,188.2,31.0,167.2
GE056,Treated,24h,177.3,17.9,258.7
GE057,Treated,24h,224.7,27.1,192.9
GE058,Treated,24h,161.8,41.4,178.1
GE059,Treated,24h,180.6,33.4,224.7
GE060,Treated,24h,184.8,31.6,279.9
